"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length"
1036,2020,"CA","CDF","TCU","SALT","00009353","2020/08/18 00:00:00+00","2020/08/28 00:00:00+00",9,1,1,1593.732,"Cause = Grinding","","{9E8E9A8D-BAC5-416B-9386-41F803BF52C3}","","",2020,10403242.5664062,16443.5169626775
1037,2020,"CA","CDF","TCU","WALKER","00006494","2020/06/16 00:00:00+00","2020/06/23 00:00:00+00",9,2,1,1398.004,"Cause = Grinding","","{F55DF3A6-DB93-4EEE-A3FC-7387C6E8F760}","","",2020,9143297.87109375,19226.9033482388
1039,2020,"CA","CCO","KRN","BENA","02027271","2020/07/01 00:00:00+00","2020/07/05 00:00:00+00",14,1,1,2884.41,"SRA","","{3DE641EE-702E-4EF7-B274-F1B5F12A0506}","","",2020,17566953.140625,21314.9720002712
1053,2020,"CA","CCO","KRN","STAGECOACH","02033315","2020/08/03 00:00:00+00","2020/08/03 00:00:00+00",14,1,1,7750.637,"","","","","",2020,47373861.8789062,46920.3382001835
1055,2020,"CA","CDF","MMU","PASS","00013431","2020/06/28 00:00:00+00","2020/07/01 00:00:00+00",11,1,1,2163.698,"","","{3572B770-DBB0-4997-8934-49FED0657B01}","","",2020,13770400.1210938,16695.5256656117
1079,2020,"CA","CDF","SLU","SODA","00007149","2020/06/10 00:00:00+00","2020/06/10 00:00:00+00",10,6,1,1653.114,"Dragging Chains","","{F88FECB2-CA1C-4614-A278-B2E71BA65E0C}","","",2020,10073813.296875,19675.8492383348
1086,2020,"CA","CDF","SLU","BRANCH","00009669","2020/07/28 00:00:00+00","2020/08/03 00:00:00+00",10,7,1,2922.204,"","","{A8DB6C0F-972D-4E13-B3FB-DF4F6E0B8C0A}","","",2020,17791770.4648438,37572.3294763485
1090,2020,"CA","CDF","SLU","POND","00009866","2020/08/01 00:00:00+00","2020/08/09 00:00:00+00",7,1,1,1962.329,"","","{0D9DCF27-F7DB-4ACB-A33D-099CE2617449}","","",2020,11977219.2695312,27175.7069459711
1098,2020,"CA","CDF","SHU","ZOGG","00009978","2020/09/27 00:00:00+00","2020/10/13 00:00:00+00",14,3,1,56338.05,"","","{50253DF3-A05D-4951-8D9A-E8E8658A57B5}","","",2020,393993433.347656,190609.169916148
1100,2020,"CA","CDF","TUU","GRADE","00000298","2020/06/22 00:00:00+00","2020/06/25 00:00:00+00",7,1,1,1050.24,"","","{3FEDDBE5-D05E-4ED6-94B5-92DE72CBF550}","","",2020,6599440.1640625,13592.2228082149
1107,2020,"CA","CDF","AEU","GRANT FIRE","00016543","2020/06/12 00:00:00+00","2020/06/12 00:00:00+00",2,1,1,5062.198,"","","{A2E9EF53-43C2-4BBE-9CEF-DDF85A481D7A}","","",2020,33560841.7539062,31944.6719386229
1116,2020,"CA","CDF","FKU","HILLS","00012279","2020/08/15 00:00:00+00","2020/09/27 00:00:00+00",1,2,1,2120.98,"","","{0F746982-4902-497B-82CD-CC5B16D97F3D}","","",2020,13134178.9335938,20374.5168819747
1118,2020,"CA","CDF","FKU","MINERAL","00010219","2020/07/13 00:00:00+00","2020/07/26 00:00:00+00",14,2,1,29666.96,"","","{8D0B4D83-3B1E-47A1-9F56-C2CAEC1A6697}","","",2020,184633612.402344,113981.402275566
1133,2020,"CA","CDF","BEU","CARMEL","00004081","2020/08/18 00:00:00+00","2020/09/06 00:00:00+00",10,7,1,6996.944,"Brush or brush-and-grass mixture fire
","","{BBB4EB3D-47BC-4068-AF1F-CD5B45501813}","","",2020,43813350.5039062,55600.12331822
1136,2020,"CA","CDF","BEU","COYOTE","00003441","2020/07/15 00:00:00+00","2020/07/18 00:00:00+00",14,1,1,1485.075,"Brush or brush-and-grass mixture fire
","","{82C7D25A-86B8-419C-AFAB-EDB8E3C53708}","","",2020,9360859.671875,16996.4970121807
